;0
469;11.732190699395193
470;11.822945375505762
471;11.36002600669174
472;0.0
473;0.0
474;0.0
475;0.0
476;0.0
477;0.0
478;0.0
479;0.0
480;0.0
481;0.0
482;0.0
483;0.0
484;0.0
485;0.0
486;0.0
487;0.0
488;0.0026279118899109797
489;1.2655505537741945
490;2.8006494067247485
491;3.4725213226530003
492;7.2087933000396704
493;6.971293948952843
494;7.162845973341309
495;7.928746828839174
496;0.0
497;0.0
498;0.0
499;0.0
500;0.0
501;0.0
502;0.0
503;0.0
504;0.0
505;0.0
506;0.0
507;0.0
508;0.0
509;0.0
510;0.0
511;0.0
512;0.0
513;0.8588797007367742
514;3.0652841980503402
515;5.672861254537069
516;7.526197884074996
517;6.140379746293771
518;5.911396687119002
519;4.555587802436229
520;0.0
521;0.0
522;0.0
523;0.0
524;0.0
525;0.0
526;0.0
527;0.0
528;0.0
529;0.0
530;0.0
531;0.0
532;0.0
533;0.0
534;0.0
535;0.0
536;0.014927796086500219
537;1.3838242049384522
538;4.174992798542057
539;5.808250968578375
540;7.618226629510005
541;9.57983739246698
542;9.336694990123231
543;8.691165016072278
544;0.0
545;0.0
546;0.0
547;0.0
548;0.0
549;0.0
550;0.0
551;0.0
552;0.0
553;0.0
554;0.0
555;0.0
556;0.0
557;0.0
558;0.0
559;0.0
560;0.0016230940884606544
561;0.5209637378745607
562;1.6194599701738033
563;2.376026220501965
564;3.2017533160632135
565;2.0922741952257464
566;2.5084651917520566
567;1.1863220795552152
568;0.0
569;0.0
570;0.0
571;0.0
572;0.0
573;0.0
574;0.0
575;0.0
576;0.0
577;0.0
578;0.0
579;0.0
580;0.0
581;0.0
582;0.0
583;0.0
584;0.009672773403001992
585;0.8542591641729279
586;2.4543553363945865
587;4.122341332072879
588;3.223412266418284
589;2.396803461224022
590;1.9609402146091843
591;1.01770510443683
592;0.0
593;0.0
594;0.0
595;0.0
596;0.0
597;0.0
598;0.0
599;0.0
600;0.0
601;0.0
602;0.0
603;0.0
604;0.0
605;0.0
606;0.0
607;0.0
608;0.0
609;0.12986962420372086
610;0.34109751091079266
611;0.5783551475450122
612;0.6540838935184499
613;0.43616867291641437
614;0.3025104891170771
615;0.09612309782890267
616;0.0
617;0.0
618;0.0
619;0.0
620;0.0
621;0.0
622;0.0
623;0.0
624;0.0
625;0.0
626;0.0
627;0.0
628;0.0
629;0.0
630;0.0
631;0.0
632;0.0
633;0.14521527974930049
634;0.49649245385782
635;0.7758634089448477
636;0.84992099103919
637;1.180130496790504
638;1.1041640200134728
639;0.49256731105354934
640;0.0
641;0.0
642;0.0
643;0.0
644;0.0
645;0.0
646;0.0
647;0.0
648;0.0
649;0.0
650;0.0
651;0.0
652;0.0
653;0.0
654;0.0
655;0.0
656;5.993595519558547e-05
657;0.19818506749068765
658;0.4002699118121877
659;0.6607593868336304
660;1.0720363868227865
661;0.8524686115368386
662;0.5457718534394265
663;0.5776425569332299
664;0.0
665;0.0
666;0.0
667;0.0
668;0.0
669;0.0
670;0.0
671;0.0
672;0.0
673;0.0
674;0.0
675;0.0
676;0.0
677;0.0
678;0.0
679;0.0
680;0.04600428949504404
681;1.5582274076386184
682;4.241554072013511
683;7.636913398717224
684;8.475002308733671
685;10.376737487638296
686;7.281922066592054
687;6.02604666544262
688;0.0
689;0.0
690;0.0
691;0.0
692;0.0
