id;cc_demand
290;33.76140717
291;23.17913458
292;23.17913458
293;79.61792174
294;93.72761853
295;912.0900324
296;1698.705629
297;2192.545016
298;3473
299;3444.780606
300;3250.772276
301;3360.122426
302;3134.367277
303;2707.548949
304;2234.874107
305;2005.591534
306;1716.34275
307;1758.67184
308;1790.418658
309;1233.085634
310;859.1786694
311;509.9636739
312;291.2633736
313;199.5503445
314;33.76140717
315;23.17913458
316;23.17913458
317;79.61792174
318;93.72761853
319;912.0900324
320;1698.705629
321;2192.545016
322;3473
323;3444.780606
324;3250.772276
325;3360.122426
326;3134.367277
327;2707.548949
328;2234.874107
329;2005.591534
330;1716.34275
331;1758.67184
332;1790.418658
333;1233.085634
334;859.1786694
335;509.9636739
336;291.2633736
337;199.5503445
338;33.76140717
339;23.17913458
340;23.17913458
341;79.61792174
342;93.72761853
343;912.0900324
344;1698.705629
345;2192.545016
346;3473
347;3444.780606
348;3250.772276
349;3360.122426
350;3134.367277
351;2707.548949
352;2234.874107
353;2005.591534
354;1716.34275
355;1758.67184
356;1790.418658
357;1233.085634
358;859.1786694
359;509.9636739
360;291.2633736
361;199.5503445
362;33.76140717
363;23.17913458
364;23.17913458
365;79.61792174
366;93.72761853
367;912.0900324
368;1698.705629
369;2192.545016
370;3473
371;3444.780606
372;3250.772276
373;3360.122426
374;3134.367277
375;2707.548949
376;2234.874107
377;2005.591534
378;1716.34275
379;1758.67184
380;1790.418658
381;1233.085634
382;859.1786694
383;509.9636739
384;291.2633736
385;199.5503445
386;33.76140717
387;23.17913458
388;23.17913458
389;79.61792174
390;93.72761853
391;912.0900324
392;1698.705629
393;2192.545016
394;3473
395;3444.780606
396;3250.772276
397;3360.122426
398;3134.367277
399;2707.548949
400;2234.874107
401;2005.591534
402;1716.34275
403;1758.67184
404;1790.418658
405;1233.085634
406;859.1786694
407;509.9636739
408;291.2633736
409;199.5503445
410;33.76140717
411;23.17913458
412;23.17913458
413;79.61792174
414;93.72761853
415;912.0900324
416;1698.705629
417;2192.545016
418;3473
419;3444.780606
420;3250.772276
421;3360.122426
422;3134.367277
423;2707.548949
424;2234.874107
425;2005.591534
426;1716.34275
427;1758.67184
428;1790.418658
429;1233.085634
430;859.1786694
431;509.9636739
432;291.2633736
433;199.5503445
434;33.76140717
435;23.17913458
436;23.17913458
437;79.61792174
438;93.72761853
439;912.0900324
440;1698.705629
441;2192.545016
442;3473
443;3444.780606
444;3250.772276
445;3360.122426
446;3134.367277
447;2707.548949
448;2234.874107
449;2005.591534
450;1716.34275
451;1758.67184
452;1790.418658
453;1233.085634
454;859.1786694
455;509.9636739
456;291.2633736
457;199.5503445
458;33.76140717
459;23.17913458
460;23.17913458
461;79.61792174
462;93.72761853
463;912.0900324
464;1698.705629
465;2192.545016
466;3473
467;3444.780606
468;3250.772276
469;3360.122426
470;3134.367277
471;2707.548949
472;2234.874107
473;2005.591534
474;1716.34275
475;1758.67184
476;1790.418658
477;1233.085634
478;859.1786694
479;509.9636739
480;291.2633736
481;199.5503445
482;33.76140717
483;23.17913458
484;23.17913458
485;79.61792174
486;93.72761853
487;912.0900324
488;1698.705629
489;2192.545016
490;3473
491;3444.780606
492;3250.772276
493;3360.122426
494;3134.367277
495;2707.548949
496;2234.874107
497;2005.591534
498;1716.34275
499;1758.67184
500;1790.418658
501;1233.085634
502;859.1786694
503;509.9636739
504;291.2633736
505;199.5503445
506;33.76140717
507;23.17913458
508;23.17913458
509;79.61792174
510;93.72761853
511;912.0900324
512;1698.705629
513;2192.545016
514;3473
515;3444.780606
516;3250.772276
517;3360.122426
518;3134.367277
519;2707.548949
520;2234.874107
521;2005.591534
522;1716.34275
523;1758.67184
524;1790.418658
525;1233.085634
526;859.1786694
527;509.9636739
528;291.2633736
529;199.5503445
530;33.76140717
531;23.17913458
532;23.17913458
533;79.61792174
534;93.72761853
535;912.0900324
536;1698.705629
537;2192.545016
538;3473
539;3444.780606
540;3250.772276
541;3360.122426
542;3134.367277
543;2707.548949
544;2234.874107
545;2005.591534
546;1716.34275
547;1758.67184
548;1790.418658
549;1233.085634
550;859.1786694
551;509.9636739
552;291.2633736
553;199.5503445
554;33.76140717
555;23.17913458
556;23.17913458
557;79.61792174
558;93.72761853
559;912.0900324
560;1698.705629
561;2192.545016
562;3473
563;3444.780606
564;3250.772276
565;3360.122426
566;3134.367277
567;2707.548949
568;2234.874107
569;2005.591534
570;1716.34275
571;1758.67184
572;1790.418658
573;1233.085634
574;859.1786694
575;509.9636739
576;291.2633736
577;199.5503445
578;33.76140717
579;23.17913458
580;23.17913458
581;79.61792174
582;93.72761853
583;912.0900324
584;1698.705629
585;2192.545016
586;3473
587;3444.780606
588;3250.772276
589;3360.122426
590;3134.367277
591;2707.548949
592;2234.874107
593;2005.591534
594;1716.34275
595;1758.67184
596;1790.418658
597;1233.085634
598;859.1786694
599;509.9636739
600;291.2633736
601;199.5503445
602;33.76140717
603;23.17913458
604;23.17913458
605;79.61792174
606;93.72761853
607;912.0900324
608;1698.705629
609;2192.545016
610;3473
611;3444.780606
612;3250.772276
613;3360.122426
614;3134.367277
615;2707.548949
616;2234.874107
617;2005.591534
618;1716.34275
619;1758.67184
620;1790.418658
621;1233.085634
622;859.1786694
623;509.9636739
624;291.2633736
625;199.5503445
626;33.76140717
627;23.17913458
628;23.17913458
629;79.61792174
630;93.72761853
631;912.0900324
632;1698.705629
633;2192.545016
634;3473
635;3444.780606
636;3250.772276
637;3360.122426
638;3134.367277
639;2707.548949
640;2234.874107
641;2005.591534
642;1716.34275
643;1758.67184
644;1790.418658
645;1233.085634
646;859.1786694
647;509.9636739
648;291.2633736
649;199.5503445
650;33.76140717
651;23.17913458
652;23.17913458
653;79.61792174
654;93.72761853
655;912.0900324
656;1698.705629
657;2192.545016
658;3473
659;3444.780606
660;3250.772276
661;3360.122426
662;3134.367277
663;2707.548949
664;2234.874107
665;2005.591534
666;1716.34275
667;1758.67184
668;1790.418658
669;1233.085634
670;859.1786694
671;509.9636739
672;291.2633736
673;199.5503445
674;33.76140717
675;23.17913458
676;23.17913458
677;79.61792174
678;93.72761853
679;912.0900324
680;1698.705629
681;2192.545016
682;3473
683;3444.780606
684;3250.772276
685;3360.122426
686;3134.367277
687;2707.548949
688;2234.874107
689;2005.591534
690;1716.34275
691;1758.67184
692;1790.418658
693;1233.085634
694;859.1786694
695;509.9636739
696;291.2633736
697;199.5503445
698;33.76140717
699;23.17913458
700;23.17913458
701;79.61792174
702;93.72761853
703;912.0900324
704;1698.705629
705;2192.545016
706;3473
707;3444.780606
708;3250.772276
709;3360.122426
710;3134.367277
711;2707.548949
712;2234.874107
713;2005.591534
714;1716.34275
715;1758.67184
716;1790.418658
717;1233.085634
718;859.1786694
719;509.9636739
720;291.2633736
721;199.5503445
722;33.76140717
723;23.17913458
724;23.17913458
725;79.61792174
726;93.72761853
727;912.0900324
728;1698.705629
729;2192.545016
730;3473
731;3444.780606
732;3250.772276
733;3360.122426
734;3134.367277
735;2707.548949
736;2234.874107
737;2005.591534
738;1716.34275
739;1758.67184
740;1790.418658
741;1233.085634
742;859.1786694
743;509.9636739
744;291.2633736
745;199.5503445
746;33.76140717
747;23.17913458
748;23.17913458
749;79.61792174
750;93.72761853
751;912.0900324
752;1698.705629
753;2192.545016
754;3473
755;3444.780606
756;3250.772276
757;3360.122426
758;3134.367277
759;2707.548949
760;2234.874107
761;2005.591534
762;1716.34275
763;1758.67184
764;1790.418658
765;1233.085634
766;859.1786694
767;509.9636739
768;291.2633736
769;199.5503445
770;33.76140717
771;23.17913458
772;23.17913458
773;79.61792174
774;93.72761853
775;912.0900324
776;1698.705629
777;2192.545016
778;3473
779;3444.780606
780;3250.772276
781;3360.122426
782;3134.367277
783;2707.548949
784;2234.874107
785;2005.591534
786;1716.34275
787;1758.67184
788;1790.418658
789;1233.085634
790;859.1786694
791;509.9636739
792;291.2633736
793;199.5503445
794;33.76140717
795;23.17913458
796;23.17913458
797;79.61792174
798;93.72761853
799;912.0900324
800;1698.705629
801;2192.545016
802;3473
803;3444.780606
804;3250.772276
805;3360.122426
806;3134.367277
807;2707.548949
808;2234.874107
809;2005.591534
810;1716.34275
811;1758.67184
812;1790.418658
813;1233.085634
814;859.1786694
815;509.9636739
816;291.2633736
817;199.5503445
818;33.76140717
819;23.17913458
820;23.17913458
821;79.61792174
822;93.72761853
823;912.0900324
824;1698.705629
825;2192.545016
826;3473
827;3444.780606
828;3250.772276
829;3360.122426
830;3134.367277
831;2707.548949
832;2234.874107
833;2005.591534
834;1716.34275
835;1758.67184
836;1790.418658
837;1233.085634
838;859.1786694
839;509.9636739
840;291.2633736
841;199.5503445
842;33.76140717
843;23.17913458
844;23.17913458
845;79.61792174
846;93.72761853
847;912.0900324
848;1698.705629
849;2192.545016
850;3473
851;3444.780606
852;3250.772276
853;3360.122426
854;3134.367277
855;2707.548949
856;2234.874107
857;2005.591534
858;1716.34275
859;1758.67184
860;1790.418658
861;1233.085634
862;859.1786694
863;509.9636739
864;291.2633736
865;199.5503445
866;33.76140717
867;23.17913458
868;23.17913458
869;79.61792174
870;93.72761853
871;912.0900324
872;1698.705629
873;2192.545016
874;3473
875;3444.780606
876;3250.772276
877;3360.122426
878;3134.367277
879;2707.548949
880;2234.874107
881;2005.591534
882;1716.34275
883;1758.67184
884;1790.418658
885;1233.085634
886;859.1786694
887;509.9636739
888;291.2633736
889;199.5503445
890;33.76140717
891;23.17913458
892;23.17913458
893;79.61792174
894;93.72761853
895;912.0900324
896;1698.705629
897;2192.545016
898;3473
899;3444.780606
900;3250.772276
901;3360.122426
902;3134.367277
903;2707.548949
904;2234.874107
905;2005.591534
906;1716.34275
907;1758.67184
908;1790.418658
909;1233.085634
910;859.1786694
911;509.9636739
912;291.2633736
913;199.5503445
914;33.76140717
915;23.17913458
916;23.17913458
917;79.61792174
918;93.72761853
919;912.0900324
920;1698.705629
921;2192.545016
922;3473
923;3444.780606
924;3250.772276
925;3360.122426
926;3134.367277
927;2707.548949
928;2234.874107
929;2005.591534
930;1716.34275
931;1758.67184
932;1790.418658
933;1233.085634
934;859.1786694
935;509.9636739
936;291.2633736
937;199.5503445
938;33.76140717
939;23.17913458
940;23.17913458
941;79.61792174
942;93.72761853
943;912.0900324
944;1698.705629
945;2192.545016
946;3473
947;3444.780606
948;3250.772276
949;3360.122426
950;3134.367277
951;2707.548949
952;2234.874107
953;2005.591534
954;1716.34275
955;1758.67184
956;1790.418658
957;1233.085634
958;859.1786694
959;509.9636739
960;291.2633736
961;199.5503445
962;33.76140717
963;23.17913458
964;23.17913458
965;79.61792174
966;93.72761853
967;912.0900324
968;1698.705629
969;2192.545016
970;3473
971;3444.780606
972;3250.772276
973;3360.122426
974;3134.367277
975;2707.548949
976;2234.874107
977;2005.591534
978;1716.34275
979;1758.67184
980;1790.418658
981;1233.085634
982;859.1786694
983;509.9636739
984;291.2633736
985;199.5503445
986;33.76140717
987;23.17913458
988;23.17913458
989;79.61792174
990;93.72761853
991;912.0900324
992;1698.705629
993;2192.545016
994;3473
995;3444.780606
996;3250.772276
997;3360.122426
998;3134.367277
999;2707.548949
1000;2234.874107
1001;2005.591534
1002;1716.34275
1003;1758.67184
1004;1790.418658
1005;1233.085634
1006;859.1786694
1007;509.9636739
1008;291.2633736
1009;199.5503445
1010;33.76140717
1011;23.17913458
1012;23.17913458
1013;79.61792174
1014;93.72761853
1015;912.0900324
1016;1698.705629
1017;2192.545016
1018;3473
1019;3444.780606
1020;3250.772276
1021;3360.122426
1022;3134.367277
1023;2707.548949
1024;2234.874107
1025;2005.591534
1026;1716.34275
1027;1758.67184
1028;1790.418658
1029;1233.085634
1030;859.1786694
1031;509.9636739
1032;291.2633736
1033;199.5503445
1034;33.76140717
1035;23.17913458
1036;23.17913458
1037;79.61792174
1038;93.72761853
1039;912.0900324
1040;1698.705629
1041;2192.545016
1042;3473
1043;3444.780606
1044;3250.772276
1045;3360.122426
1046;3134.367277
1047;2707.548949
1048;2234.874107
1049;2005.591534
1050;1716.34275
1051;1758.67184
1052;1790.418658
1053;1233.085634
1054;859.1786694
1055;509.9636739
1056;291.2633736
1057;199.5503445
1058;33.76140717
1059;23.17913458
1060;23.17913458
1061;79.61792174
1062;93.72761853
1063;912.0900324
1064;1698.705629
1065;2192.545016
1066;3473
1067;3444.780606
1068;3250.772276
1069;3360.122426
1070;3134.367277
1071;2707.548949
1072;2234.874107
1073;2005.591534
1074;1716.34275
1075;1758.67184
1076;1790.418658
1077;1233.085634
1078;859.1786694
1079;509.9636739
1080;291.2633736
1081;199.5503445
1082;33.76140717
1083;23.17913458
1084;23.17913458
1085;79.61792174
1086;93.72761853
1087;912.0900324
1088;1698.705629
1089;2192.545016
1090;3473
1091;3444.780606
1092;3250.772276
1093;3360.122426
1094;3134.367277
1095;2707.548949
1096;2234.874107
1097;2005.591534
1098;1716.34275
1099;1758.67184
1100;1790.418658
1101;1233.085634
1102;859.1786694
1103;509.9636739
1104;291.2633736
1105;199.5503445
1106;33.76140717
1107;23.17913458
1108;23.17913458
1109;79.61792174
1110;93.72761853
1111;912.0900324
1112;1698.705629
1113;2192.545016
1114;3473
1115;3444.780606
1116;3250.772276
1117;3360.122426
1118;3134.367277
1119;2707.548949
1120;2234.874107
1121;2005.591534
1122;1716.34275
1123;1758.67184
1124;1790.418658
1125;1233.085634
1126;859.1786694
1127;509.9636739
1128;291.2633736
1129;199.5503445
1130;33.76140717
1131;23.17913458
1132;23.17913458
1133;79.61792174
1134;93.72761853
1135;912.0900324
1136;1698.705629
1137;2192.545016
1138;3473
1139;3444.780606
1140;3250.772276
1141;3360.122426
1142;3134.367277
1143;2707.548949
1144;2234.874107
1145;2005.591534
1146;1716.34275
1147;1758.67184
1148;1790.418658
1149;1233.085634
1150;859.1786694
1151;509.9636739
1152;291.2633736
1153;199.5503445
1154;33.76140717
1155;23.17913458
1156;23.17913458
1157;79.61792174
1158;93.72761853
1159;912.0900324
1160;1698.705629
1161;2192.545016
1162;3473
1163;3444.780606
1164;3250.772276
1165;3360.122426
1166;3134.367277
1167;2707.548949
1168;2234.874107
1169;2005.591534
1170;1716.34275
1171;1758.67184
1172;1790.418658
1173;1233.085634
1174;859.1786694
1175;509.9636739
1176;291.2633736
1177;199.5503445
1178;33.76140717
1179;23.17913458
1180;23.17913458
1181;79.61792174
1182;93.72761853
1183;912.0900324
1184;1698.705629
1185;2192.545016
1186;3473
1187;3444.780606
1188;3250.772276
1189;3360.122426
1190;3134.367277
1191;2707.548949
1192;2234.874107
1193;2005.591534
1194;1716.34275
1195;1758.67184
1196;1790.418658
1197;1233.085634
1198;859.1786694
1199;509.9636739
1200;291.2633736
1201;199.5503445
1202;33.76140717
1203;23.17913458
1204;23.17913458
1205;79.61792174
1206;93.72761853
1207;912.0900324
1208;1698.705629
1209;2192.545016
1210;3473
1211;3444.780606
1212;3250.772276
1213;3360.122426
1214;3134.367277
1215;2707.548949
1216;2234.874107
1217;2005.591534
1218;1716.34275
1219;1758.67184
1220;1790.418658
1221;1233.085634
1222;859.1786694
1223;509.9636739
1224;291.2633736
1225;199.5503445
1226;33.76140717
1227;23.17913458
1228;23.17913458
1229;79.61792174
1230;93.72761853
1231;912.0900324
1232;1698.705629
1233;2192.545016
1234;3473
1235;3444.780606
1236;3250.772276
1237;3360.122426
1238;3134.367277
1239;2707.548949
1240;2234.874107
1241;2005.591534
1242;1716.34275
1243;1758.67184
1244;1790.418658
1245;1233.085634
1246;859.1786694
1247;509.9636739
1248;291.2633736
1249;199.5503445
1250;33.76140717
1251;23.17913458
1252;23.17913458
1253;79.61792174
1254;93.72761853
1255;912.0900324
1256;1698.705629
1257;2192.545016
1258;3473
1259;3444.780606
1260;3250.772276
1261;3360.122426
1262;3134.367277
1263;2707.548949
1264;2234.874107
1265;2005.591534
1266;1716.34275
1267;1758.67184
1268;1790.418658
1269;1233.085634
1270;859.1786694
1271;509.9636739
1272;291.2633736
1273;199.5503445
1274;33.76140717
1275;23.17913458
1276;23.17913458
1277;79.61792174
1278;93.72761853
1279;912.0900324
1280;1698.705629
1281;2192.545016
1282;3473
1283;3444.780606
1284;3250.772276
1285;3360.122426
1286;3134.367277
1287;2707.548949
1288;2234.874107
1289;2005.591534
1290;1716.34275
1291;1758.67184
1292;1790.418658
1293;1233.085634
1294;859.1786694
1295;509.9636739
1296;291.2633736
1297;199.5503445
1298;33.76140717
1299;23.17913458
1300;23.17913458
1301;79.61792174
1302;93.72761853
1303;912.0900324
1304;1698.705629
1305;2192.545016
1306;3473
1307;3444.780606
1308;3250.772276
1309;3360.122426
1310;3134.367277
1311;2707.548949
1312;2234.874107
1313;2005.591534
1314;1716.34275
1315;1758.67184
1316;1790.418658
1317;1233.085634
1318;859.1786694
1319;509.9636739
1320;291.2633736
