id;household_demand;commercial_demand;industrial_demand;heat_demand
84;26789.90461;41265.72081;61213.08837;35590.4952
85;28142.72305;41969.97896;63093.81238;36323.71595
86;31729.74165;36811.76386;61750.43809;36897.76923
87;28142.72305;31653.54876;60138.38894;39171.35955
88;24904.15769;32015.19483;59601.03923;41536.24898
89;22342.00155;35041.60148;59869.71408;42599.52007
90;21829.57033;34508.64936;59601.03923;43187.71259
91;25580.56692;33252.4051;61213.08837;42656.07705
92;32242.17288;23468.92701;60944.41352;38413.49611
93;36177.64471;17777.7598;55257.46236;30110.12451
94;33103.05734;17244.80768;53600.63407;22799.73176
95;31217.31042;15836.29138;47376.33321;18507.0575
96;25252.61092;15474.6453;44152.23492;19784.03316
97;17750.61774;14408.74108;41420.7072;21347.02551
98;11601.44301;12276.93263;39808.65805;24112.25751
99;9551.718094;11020.68835;40077.33291;31255.40321
100;8875.308872;10316.43021;40077.33291;44982.18455
101;8875.308872;11020.68835;36853.23463;50000
102;9203.264858;13514.14288;36002.43091;47389.49171
103;12626.30547;14580.04711;37927.93406;44281.28207
104;23038.90802;16369.2435;43883.56006;41661.88626
105;27814.76707;24192.21917;47645.00807;38936.64811
106;28142.72305;38068.00812;58750.23551;37513.43228
107;27630.29183;40371.12262;58750.23551;36402.89572
108;26789.90461;41265.72081;61213.08837;35590.4952
109;28142.72305;41969.97896;63093.81238;36323.71595
110;31729.74165;36811.76386;61750.43809;36897.76923
111;28142.72305;31653.54876;60138.38894;39171.35955
112;24904.15769;32015.19483;59601.03923;41536.24898
113;22342.00155;35041.60148;59869.71408;42599.52007
114;21829.57033;34508.64936;59601.03923;43187.71259
115;25580.56692;33252.4051;61213.08837;42656.07705
116;32242.17288;23468.92701;60944.41352;38413.49611
117;36177.64471;17777.7598;55257.46236;30110.12451
118;33103.05734;17244.80768;53600.63407;22799.73176
119;31217.31042;15836.29138;47376.33321;18507.0575
120;25252.61092;15474.6453;44152.23492;19784.03316
121;17750.61774;14408.74108;41420.7072;21347.02551
122;11601.44301;12276.93263;39808.65805;24112.25751
123;9551.718094;11020.68835;40077.33291;31255.40321
124;8875.308872;10316.43021;40077.33291;44982.18455
125;8875.308872;11020.68835;36853.23463;50000
126;9203.264858;13514.14288;36002.43091;47389.49171
127;12626.30547;14580.04711;37927.93406;44281.28207
128;23038.90802;16369.2435;43883.56006;41661.88626
129;27814.76707;24192.21917;47645.00807;38936.64811
130;28142.72305;38068.00812;58750.23551;37513.43228
131;27630.29183;40371.12262;58750.23551;36402.89572
132;26789.90461;41265.72081;61213.08837;35590.4952
133;28142.72305;41969.97896;63093.81238;36323.71595
134;31729.74165;36811.76386;61750.43809;36897.76923
135;28142.72305;31653.54876;60138.38894;39171.35955
136;24904.15769;32015.19483;59601.03923;41536.24898
137;22342.00155;35041.60148;59869.71408;42599.52007
138;21829.57033;34508.64936;59601.03923;43187.71259
139;25580.56692;33252.4051;61213.08837;42656.07705
140;32242.17288;23468.92701;60944.41352;38413.49611
141;36177.64471;17777.7598;55257.46236;30110.12451
142;33103.05734;17244.80768;53600.63407;22799.73176
143;31217.31042;15836.29138;47376.33321;18507.0575
144;25252.61092;15474.6453;44152.23492;19784.03316
145;17750.61774;14408.74108;41420.7072;21347.02551
146;11601.44301;12276.93263;39808.65805;24112.25751
147;9551.718094;11020.68835;40077.33291;31255.40321
148;8875.308872;10316.43021;40077.33291;44982.18455
149;8875.308872;11020.68835;36853.23463;50000
150;9203.264858;13514.14288;36002.43091;47389.49171
151;12626.30547;14580.04711;37927.93406;44281.28207
152;23038.90802;16369.2435;43883.56006;41661.88626
153;27814.76707;24192.21917;47645.00807;38936.64811
154;28142.72305;38068.00812;58750.23551;37513.43228
155;27630.29183;40371.12262;58750.23551;36402.89572
156;26789.90461;41265.72081;61213.08837;35590.4952
157;28142.72305;41969.97896;63093.81238;36323.71595
158;31729.74165;36811.76386;61750.43809;36897.76923
159;28142.72305;31653.54876;60138.38894;39171.35955
160;24904.15769;32015.19483;59601.03923;41536.24898
161;22342.00155;35041.60148;59869.71408;42599.52007
162;21829.57033;34508.64936;59601.03923;43187.71259
163;25580.56692;33252.4051;61213.08837;42656.07705
164;32242.17288;23468.92701;60944.41352;38413.49611
165;36177.64471;17777.7598;55257.46236;30110.12451
166;33103.05734;17244.80768;53600.63407;22799.73176
167;31217.31042;15836.29138;47376.33321;18507.0575
168;25252.61092;15474.6453;44152.23492;19784.03316
169;17750.61774;14408.74108;41420.7072;21347.02551
170;11601.44301;12276.93263;39808.65805;24112.25751
171;9551.718094;11020.68835;40077.33291;31255.40321
172;8875.308872;10316.43021;40077.33291;44982.18455
173;8875.308872;11020.68835;36853.23463;50000
174;9203.264858;13514.14288;36002.43091;47389.49171
175;12626.30547;14580.04711;37927.93406;44281.28207
176;23038.90802;16369.2435;43883.56006;41661.88626
177;27814.76707;24192.21917;47645.00807;38936.64811
178;28142.72305;38068.00812;58750.23551;37513.43228
179;27630.29183;40371.12262;58750.23551;36402.89572
180;26789.90461;41265.72081;61213.08837;35590.4952
181;28142.72305;41969.97896;63093.81238;36323.71595
182;31729.74165;36811.76386;61750.43809;36897.76923
183;28142.72305;31653.54876;60138.38894;39171.35955
184;24904.15769;32015.19483;59601.03923;41536.24898
185;22342.00155;35041.60148;59869.71408;42599.52007
186;21829.57033;34508.64936;59601.03923;43187.71259
187;25580.56692;33252.4051;61213.08837;42656.07705
188;32242.17288;23468.92701;60944.41352;38413.49611
189;36177.64471;17777.7598;55257.46236;30110.12451
190;33103.05734;17244.80768;53600.63407;22799.73176
191;31217.31042;15836.29138;47376.33321;18507.0575
192;25252.61092;15474.6453;44152.23492;19784.03316
193;17750.61774;14408.74108;41420.7072;21347.02551
